fecha,iee_global,comercio,construccion,manufactura,servicios
2023-03-01,61.4,65.7,46.9,58.2,63.2
2023-04-01,50.9,55.3,44.6,42.8,53.5
2023-05-01,58.8,59.7,51.7,53.6,62.1
2023-06-01,51.0,51.0,56.2,48.0,51.3
2023-07-01,54.9,55.4,51.4,49.6,57.8
2023-08-01,52.7,52.5,52.1,51.0,53.6
2023-09-01,51.5,53.7,52.5,47.0,52.1
2023-10-01,56.7,53.9,53.6,55.0,59.6
2023-11-01,55.3,56.4,51.0,47.3,59.1
2023-12-01,50.7,45.4,53.0,46.5,55.1
2024-01-01,44.8,46.2,43.7,45.8,43.9
2024-02-01,53.0,51.5,49.1,54.2,54.0
2024-03-01,60.6,62.4,61.3,58.4,60.5
2024-04-01,51.3,47.1,50.4,54.4,52.3
2024-05-01,54.6,58.0,48.3,54.2,54.2
2024-06-01,51.6,50.3,43.7,43.3,57.5
2024-07-01,57.5,54.3,57.0,53.6,61.0
2024-08-01,58.8,57.6,50.0,52.2,64.1
2024-09-01,50.0,47.9,49.8,48.0,49.5
2024-10-01,56.3,56.9,54.7,50.5,58.8
2024-11-01,54.7,60.0,45.1,50.1,55.8
2024-12-01,55.1,60.2,43.3,50.2,56.9
2025-01-01,49.6,44.8,45.5,50.6,52.5
2025-02-01,49.7,46.5,55.1,52.9,49.0
2025-03-01,59.9,62.0,43.7,57.1,63.1
2025-04-01,55.2,53.8,61.7,55.9,54.4
2025-05-01,56.4,55.1,62.3,53.3,57.3
2025-06-01,48.5,48.4,51.9,45.3,49.3
2025-07-01,56.2,55.4,47.7,55.0,58.7
2025-08-01,54.7,57.0,57.7,51.1,54.5
2025-09-01,55.0,52.5,57.4,52.8,56.8
2025-10-01,57.0,60.2,63.7,55.2,54.8
2025-11-01,55.7,60.1,54.6,46.3,57.9
2025-12-01,55.7,48.9,64.7,53.2,58.7
